ID,helper1,hinderer1,helper2,hinderer2,helper3,hinderer3
1,5.53,5.61,5.8,5.89,9.03,8.72
2,4.91,5.27,4.86,5.81,7.34,7.92
3,4.35,5.79,4.69,5.18,6.37,7.78
4,5.42,6.16,5.52,6.2,8.95,9.69
5,4.62,4.91,4.61,4.85,6.77,7.22
6,4.22,5.87,4.25,6.08,6.41,8.31
7,5.45,6.55,5.18,6.22,8.45,9.76
8,5.45,4.32,5.66,4.27,7.88,6.59
9,5.17,5.71,5.67,5.55,8.17,8.63
10,5.77,6,5.85,6.29,9.44,9.97
11,5.46,4.99,5.82,5.4,8.7,8.31
12,5.25,5.62,5.7,5.81,8.72,8.75
13,5.83,4.83,5.71,5.15,8.68,7.56
14,5.48,5.83,5.66,5.37,8.34,8.11
15,5.83,5.57,6.48,5.12,9.23,9.05
16,5.76,5.05,5.33,4.67,8.26,7.26
