ID,condition,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,1,58.75,41.23,32.33,67.65
2,1,2,79.56,20.43,14.8,85.19
3,1,1,69.91,30.08,36.81,63.19
4,1,2,69.83,30.16,35.9,64.09
5,1,1,60.38,39.61,35.63,64.36
6,1,2,56.7,43.29,35.43,64.56
7,1,1,67.18,32.81,26.21,73.78
8,1,2,75.17,24.81,31.26,68.73
9,2,1,29.73,70.26,59.64,40.35
10,2,2,24.71,75.28,75.53,24.46
11,2,1,34.77,65.22,70.83,29.16
12,2,2,30.37,69.62,71.38,28.61
13,2,1,32.92,67.07,66.45,33.54
14,2,2,27.8,72.19,71.85,28.14
15,2,1,25.73,74.26,62.66,37.33
16,2,2,25.36,74.63,66.17,33.82
